name,		 DataType,	 isBoxed,	 operation,	 Repetition,	 ArrayLength	 CycleNumber,	 RunTime,	
inteli7,	   Integer,	   FALSE,		Subtract,		0,			 10000,				1000,				1,			
inteli7,	   Integer,	   FALSE,		Subtract,		0,			 10000,				2000,				4,			
inteli7,	   Integer,	   FALSE,		Subtract,		0,			 10000,				3000,				3,			
inteli7,	   Integer,	   FALSE,		Subtract,		0,			 10000,				4000,				6,			
inteli7,	   Integer,	   FALSE,		Subtract,		0,			 10000,				5000,				6,			
inteli7,	   Integer,	   FALSE,		Subtract,		0,			 20000,				1000,				4,			
inteli7,	   Integer,	   FALSE,		Subtract,		0,			 20000,				2000,				5,			
inteli7,	   Integer,	   FALSE,		Subtract,		0,			 20000,				3000,				11,			
inteli7,	   Integer,	   FALSE,		Subtract,		0,			 20000,				4000,				11,			
inteli7,	   Integer,	   FALSE,		Subtract,		0,			 20000,				5000,				19,			
inteli7,	   Integer,	   FALSE,		Subtract,		0,			 30000,				1000,				6,			
inteli7,	   Integer,	   FALSE,		Subtract,		0,			 30000,				2000,				12,			
inteli7,	   Integer,	   FALSE,		Subtract,		0,			 30000,				3000,				11,			
inteli7,	   Integer,	   FALSE,		Subtract,		0,			 30000,				4000,				14,			
inteli7,	   Integer,	   FALSE,		Subtract,		0,			 30000,				5000,				24,			
inteli7,	   Integer,	   FALSE,		Subtract,		0,			 40000,				1000,				8,			
inteli7,	   Integer,	   FALSE,		Subtract,		0,			 40000,				2000,				16,			
inteli7,	   Integer,	   FALSE,		Subtract,		0,			 40000,				3000,				14,			
inteli7,	   Integer,	   FALSE,		Subtract,		0,			 40000,				4000,				19,			
inteli7,	   Integer,	   FALSE,		Subtract,		0,			 40000,				5000,				33,			
inteli7,	   Integer,	   FALSE,		Subtract,		0,			 50000,				1000,				8,			
inteli7,	   Integer,	   FALSE,		Subtract,		0,			 50000,				2000,				15,			
inteli7,	   Integer,	   FALSE,		Subtract,		0,			 50000,				3000,				17,			
inteli7,	   Integer,	   FALSE,		Subtract,		0,			 50000,				4000,				23,			
inteli7,	   Integer,	   FALSE,		Subtract,		0,			 50000,				5000,				31,			

